run,intervention,step,n_matrices,h_fro_total,kl_step,kl_per_fro2
smoke_v3_sft_none_s1,none,4,27,0.04511194400254174,0.030865309865451253,15.16657637153628
smoke_v3_sft_spectrum_matched_s3,spectrum_matched,4,27,0.15832382326214264,0.0004498154657883082,0.01794493319280125
smoke_v3_sft_random_ext_s1,random_ext,4,27,0.057396473695079504,7.134575343695072e-05,0.021656970564850928
