matrix,family,direction,slope,kl_per_step2_at_min_eta
model.layers.19.self_attn.k_proj.weight,self_attn,gauss,0.04682339040904452,2.6829081111891218
model.layers.19.self_attn.k_proj.weight,self_attn,spec_rand,0.07879850609255544,2.5156616142686583
model.layers.19.self_attn.k_proj.weight,self_attn,spec_scale,15.796629222360622,0.0
model.layers.19.self_attn.o_proj.weight,self_attn,frame_rot,0.11677970471513249,0.29425355731143804
model.layers.19.self_attn.o_proj.weight,self_attn,gauss,0.21778509989330683,0.2946833162711743
model.layers.19.self_attn.o_proj.weight,self_attn,spec_rand,0.19332627633926597,0.2957940240340573
model.layers.19.self_attn.o_proj.weight,self_attn,spec_scale,0.9186005486698077,0.013902431299461237
model.layers.19.self_attn.q_proj.weight,self_attn,frame_rot,0.1706063820916742,0.17093774292974062
model.layers.19.self_attn.q_proj.weight,self_attn,gauss,0.10862863857854042,0.18107370499914208
model.layers.19.self_attn.q_proj.weight,self_attn,spec_rand,0.08947406648700432,0.17229348247150847
model.layers.19.self_attn.q_proj.weight,self_attn,spec_scale,2.711161574936253,9.577633748114271e-06
model.layers.19.self_attn.v_proj.weight,self_attn,frame_rot,0.14031023326124545,0.7720631550038312
model.layers.19.self_attn.v_proj.weight,self_attn,gauss,0.12825503508216052,0.8169038435082588
model.layers.19.self_attn.v_proj.weight,self_attn,spec_rand,0.08627387617902488,0.8781050558072396
model.layers.19.self_attn.v_proj.weight,self_attn,spec_scale,15.899507466200319,0.0
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,frame_rot,0.15130771684486355,0.04588042823119641
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,gauss,0.10148580365918644,0.04817927821148598
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,spec_rand,0.07775116521260625,0.04826326443357923
model.layers.21.linear_attn.in_proj_qkv.weight,linear_attn,spec_scale,15.824837962235678,0.0
model.layers.21.linear_attn.out_proj.weight,linear_attn,frame_rot,0.09647493165805822,0.5119161666664982
model.layers.21.linear_attn.out_proj.weight,linear_attn,gauss,0.10579090952493393,0.5232378818062758
model.layers.21.linear_attn.out_proj.weight,linear_attn,spec_rand,0.10762541415720449,0.5423597213493593
model.layers.21.linear_attn.out_proj.weight,linear_attn,spec_scale,15.859657664224743,0.0
model.layers.22.mlp.down_proj.weight,mlp,frame_rot,0.19654195189402757,0.35147469276635834
model.layers.22.mlp.down_proj.weight,mlp,gauss,0.20316612264128103,0.36228079594498575
model.layers.22.mlp.down_proj.weight,mlp,spec_rand,0.22128476080833467,0.3779648540766064
model.layers.22.mlp.down_proj.weight,mlp,spec_scale,15.954972557197587,0.0
model.layers.22.mlp.gate_proj.weight,mlp,frame_rot,0.21018034174699982,0.11063938621517819
model.layers.22.mlp.gate_proj.weight,mlp,gauss,0.15662809126746702,0.10410968457224483
model.layers.22.mlp.gate_proj.weight,mlp,spec_rand,0.1672908661402326,0.09901623021768265
model.layers.22.mlp.gate_proj.weight,mlp,spec_scale,1.392820876805718,0.0015299486923169672
model.layers.22.mlp.up_proj.weight,mlp,frame_rot,0.19494997461413618,0.3366502566219731
model.layers.22.mlp.up_proj.weight,mlp,gauss,0.18998939154099487,0.3296329854980508
model.layers.22.mlp.up_proj.weight,mlp,spec_rand,0.1783572256437181,0.3228316915690428
model.layers.22.mlp.up_proj.weight,mlp,spec_scale,2.7134873100022436,2.872840907548604e-05
model.layers.7.self_attn.k_proj.weight,self_attn,frame_rot,0.059876544390904576,5.300607067982852
model.layers.7.self_attn.k_proj.weight,self_attn,gauss,0.033869052750764905,5.535559421852597
model.layers.7.self_attn.k_proj.weight,self_attn,spec_rand,0.0302507058446155,5.681430700073919
model.layers.7.self_attn.k_proj.weight,self_attn,spec_scale,15.952263897968969,0.0
model.layers.7.self_attn.o_proj.weight,self_attn,frame_rot,0.07809779581759488,1.2116741741129844
model.layers.7.self_attn.o_proj.weight,self_attn,gauss,0.16056890901323317,1.2357078947421851
model.layers.7.self_attn.o_proj.weight,self_attn,spec_rand,0.1105802682935346,1.2267809292156153
model.layers.7.self_attn.o_proj.weight,self_attn,spec_scale,0.9251270128734339,0.05253992570438255
model.layers.7.self_attn.q_proj.weight,self_attn,frame_rot,0.19823131106490605,0.3233553645815728
model.layers.7.self_attn.q_proj.weight,self_attn,gauss,0.1022384799735307,0.3205454882069902
model.layers.7.self_attn.q_proj.weight,self_attn,spec_rand,0.09514967304556915,0.32063182786585237
model.layers.7.self_attn.q_proj.weight,self_attn,spec_scale,1.1515844566156959,0.007909147066368348
model.layers.7.self_attn.v_proj.weight,self_attn,frame_rot,0.138956400193069,4.320963916526876
model.layers.7.self_attn.v_proj.weight,self_attn,gauss,0.09547143107205394,4.4603816414134085
model.layers.7.self_attn.v_proj.weight,self_attn,spec_rand,0.09552644882973552,4.559195647982267
model.layers.7.self_attn.v_proj.weight,self_attn,spec_scale,16.03652113962139,0.0
