run,intervention,step,n_matrices,h_fro_total,kl_step,kl_per_fro2
klcap_v3_rlvr_none,none,4,27,0.009042944229529004,0.0011878223882988562,14.525523784379487
klcap_v3_rlvr_frame_matched,frame_matched,4,27,0.009186539047273574,0.0009785727341227659,11.595494125462734
klcap_v3_rlvr_exact_iso,exact_iso,4,27,0.010763987529292017,0.0007748818507747534,6.687889934630784
klcap_v3_rlvr_spectrum_matched,spectrum_matched,4,27,0.009061796232001366,3.15061200799086e-07,0.0038367750698607306
klcap_v3_rlvr_random_ext,random_ext,4,27,0.009117628048855174,2.708766806043538e-07,0.003258426103296538
