run,intervention,step,n_matrices,h_fro_total,kl_step,kl_per_fro2
klcap_v3_rlvr_none,none,4,27,0.009042944229529004,1.7833989352202366e-06,0.02180865077621432
klcap_v3_rlvr_frame_matched,frame_matched,4,27,0.009186539047273574,1.969274335363867e-06,0.023334707979173617
klcap_v3_rlvr_exact_iso,exact_iso,4,27,0.010763987529292017,1.9980438737391146e-06,0.01724481932151339
klcap_v3_rlvr_spectrum_matched,spectrum_matched,4,27,0.009061796232001366,4.352004870516187e-08,0.000529981595599804
klcap_v3_rlvr_random_ext,random_ext,4,27,0.009117628048855174,1.6933681509082182e-08,0.00020369841261712668
