run,intervention,step,n_matrices,h_fro_total,kl_step,kl_per_fro2
klcap_v3_sft_none,none,8,27,0.032535998555004574,2.4419809406329952e-05,0.023068214964243525
klcap_v3_sft_frame_matched,frame_matched,8,27,0.03250540091194741,2.4720343594695685e-05,0.02339609892986494
klcap_v3_sft_exact_iso,exact_iso,8,27,0.03293548921075427,2.251422230820242e-05,0.020755285548532367
klcap_v3_sft_spectrum_matched,spectrum_matched,8,27,0.04733580027172221,4.103559346539574e-06,0.0018313918241176783
klcap_v3_sft_random_ext,random_ext,8,27,0.04767285580194979,5.749324049335193e-07,0.00025297316247013726
