step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
10,model.layers.22.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.0006224937969818711,1.6098946332931519,0.0020109154284000397,1.525788426399231,0.00022599005023948848,0.0740647092461586,0.4960896372795105,0.007607043720781803,0.6345186233520508,1.4696826934814453,0.9712511897087097,41.174072265625,-0.015264291316270828,0.011105059646070004,0.006726882886141539,0.3174891769886017,0.6757681369781494,0.006729784421622753,0.6757732033729553,1.5703617334365845,8.0,0.13062119483947754,0.11738001555204391,0.8585724234580994,0.0008778546471148729,0.4527561068534851,3.0846128463745117,0.001938912880083918,0.02905924990773201,0.027673548087477684,0.05182325467467308,0.19953984022140503
10,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,0.00010697202378651127,2.2021944522857666,7.983004616107792e-05,1.8385775089263916,0.0011571298819035292,0.17411763966083527,0.274394690990448,0.008568938821554184,0.523159384727478,1.5324593782424927,0.9556586742401123,20.74378776550293,-0.09798907488584518,0.013486350886523724,0.07065483182668686,0.4970140755176544,0.43232211470603943,0.07065486162900925,0.43232661485671997,1.1199734210968018,8.0,0.11107993125915527,0.106557697057724,0.8819887638092041,-0.00018060248112306,0.13060253858566284,2.003427267074585,-0.0013828405104438452,0.021710984408855438,0.01872008480131626,0.014962863177061081,0.08503882586956024
10,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.00027715699980035424,1.372061848640442,-0.0005147607298567891,4.485548973083496,0.0003355190856382251,0.1122513860464096,0.3736618459224701,0.01187299657613039,0.5106090903282166,1.4494160413742065,0.955925464630127,31.322460174560547,-0.03610401228070259,0.007689337711781263,0.0376971960067749,0.4745787978172302,0.4877106249332428,0.037697236984968185,0.48771727085113525,1.4009580612182617,,,,,,,,,,,,
10,model.layers.12.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,8.738107135286555e-05,2.0957677364349365,-0.0005788467242382467,1.331523060798645,0.001068929792381823,0.15945054590702057,0.2568697929382324,0.00554707320407033,0.5858672261238098,1.5488228797912598,0.9740031957626343,93.9429931640625,0.06568577140569687,0.012766672298312187,0.009055674076080322,0.5299254059791565,0.4610118865966797,0.00905569177120924,0.4610153138637543,1.5682164430618286,8.0,0.12497907876968384,0.12906008958816528,0.8927125930786133,8.627296483609825e-05,0.08323653787374496,0.5765239000320435,0.0010364794961433765,0.02939680777490139,0.03643886744976044,0.06218530237674713,0.15750503540039062
10,model.layers.12.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.0002806041156873107,2.056201696395874,-0.0010569770820438862,1.8056782484054565,9.724002302391455e-05,0.1682695597410202,0.33085012435913086,0.02432802878320217,0.522342324256897,1.4384303092956543,0.9675624966621399,51.33686447143555,-0.042821191251277924,0.007613444700837135,0.025666842237114906,0.5178539156913757,0.4564664363861084,0.025666872039437294,0.4564727544784546,1.4130371809005737,,,,,,,,,,,,
10,model.layers.21.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,0.00013294602103997022,1.8871148824691772,-5.833607792737894e-05,0.4980175495147705,0.0008984560845419765,0.21394497156143188,0.2166801542043686,0.006911296397447586,0.4976581931114197,1.5349689722061157,0.9858039021492004,20.91883087158203,-0.03762611374258995,0.013683853670954704,0.10445984452962875,0.4669319987297058,0.4286026954650879,0.10445990413427353,0.428605318069458,0.7991181015968323,8.0,0.17544399201869965,0.17123855650424957,0.8991032838821411,2.0534616851364262e-05,0.020183440297842026,0.08566907793283463,0.0010173992415732904,0.07363180816173553,0.059716999530792236,0.11507787555456161,0.19179660081863403
10,model.layers.21.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.00036805722629651427,1.4731488227844238,-5.045178568252595e-06,1.0824545621871948,8.479598182020709e-05,0.13872863352298737,0.35630863904953003,0.005269040819257498,0.5252834558486938,1.481083631515503,0.942509651184082,47.46677780151367,-0.033438507467508316,0.008827435784041882,0.0087426183745265,0.48717978596687317,0.5040682554244995,0.00874265469610691,0.5040729641914368,1.570450782775879,,,,,,,,,,,,
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00020526594016700983,2.991497039794922,0.001441875472664833,0.9380216002464294,0.0027194125577807426,0.18142777681350708,0.25289615988731384,0.015095040202140808,0.5221710205078125,1.5284233093261719,0.9727576375007629,26.90723991394043,0.049721620976924896,0.007502878084778786,0.08593741059303284,0.48200568556785583,0.43204841017723083,0.08593759685754776,0.43205246329307556,0.7926397919654846,8.0,0.08582405745983124,0.08493933081626892,0.8975430727005005,9.601638885214925e-05,0.03001800924539566,0.7754681706428528,0.0031986261336393188,0.006224707700312138,0.00955894123762846,0.012420299462974072,0.0816473588347435
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009420181741006672,4.230527877807617,-6.5409954004280735e-06,0.6953408122062683,0.0015644762897863984,0.17181983590126038,0.2588895559310913,0.03127831593155861,0.663131594657898,1.3192579746246338,0.9764126539230347,14.182731628417969,-0.18108241260051727,0.002605780027806759,0.1394907534122467,0.4797443151473999,0.3807426989078522,0.1394970715045929,0.380747526884079,0.9196092486381531,,,,,,,,,,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0007718928973190486,1.8608591556549072,-0.00018212599388789386,1.3857667446136475,0.00031427558860741556,0.12133818119764328,0.258708119392395,0.0031974988523870707,0.7592947483062744,1.4742060899734497,0.984767735004425,31.941547393798828,0.005406607873737812,0.002907347632572055,0.028398513793945312,0.40601372718811035,0.5654497146606445,0.028398673981428146,0.5655186772346497,1.2269243001937866,,,,,,,,,,,,
