step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,rho_sigma_absmed,rho_frame_absmed
8,model.layers.12.mlp.up_proj.weight,3584,1024,0.00027901785714285713,0.00028653419576585293,2.151916027069092,0.0001249942579306662,3.0102217197418213,0.00021182543423492461,0.2224479764699936,0.24510705471038818,0.005203142762184143,0.5164788365364075,1.517248511314392,0.0002913370553869754,7.209724426269531,0.002003917470574379,0.00859815813601017,0.00032611863571219146,0.26398470997810364,0.21207134425640106,0.008735984563827515,0.48918256163597107,1.5135612487792969,,,,,,
8,model.layers.12.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.0002632348332554102,2.6141765117645264,0.0001328911748714745,2.9302804470062256,0.0001465544628445059,0.2298089861869812,0.2558690905570984,0.01694953255355358,0.4861600697040558,1.4306305646896362,0.00027314177714288235,8.509573936462402,0.0017693382687866688,0.008579863235354424,0.00016593562031630427,0.24003703892230988,0.24546080827713013,0.01923774927854538,0.4895307719707489,1.400276780128479,2.0,0.5294861793518066,0.5100523829460144,0.6417561173439026,,
8,model.layers.22.mlp.gate_proj.weight,3584,1024,0.00027901785714285713,0.00022739116684533656,1.6878271102905273,0.002447941107675433,0.6371620893478394,0.0006303686532191932,0.16703678667545319,0.27105674147605896,0.005443892441689968,0.582680344581604,1.5273518562316895,0.0002926114830188453,9.044898986816406,-0.0003938349836971611,0.008589317090809345,0.0006657507619820535,0.23529382050037384,0.23164357244968414,0.010050232522189617,0.49640026688575745,1.5112736225128174,,,,,0.37087950110435486,0.3637954592704773
8,model.layers.22.mlp.up_proj.weight,3584,1024,0.00027901785714285713,0.00021036728867329657,2.1136598587036133,0.0015887676272541285,1.1854997873306274,0.0006034862017259002,0.1715526282787323,0.2998383641242981,0.00988609716296196,0.5922279357910156,1.5114339590072632,0.00032318473677150905,7.685177803039551,0.0024734202306717634,0.008585897274315357,0.0012573122512549162,0.2296321839094162,0.24152341485023499,0.014478489756584167,0.5054652690887451,1.5047205686569214,,,,,,
8,model.layers.22.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.0003909230581484735,2.2047929763793945,0.0017418450443074107,1.1804382801055908,0.00028322500293143094,0.10388147085905075,0.4304580092430115,0.010169552639126778,0.602373480796814,1.469214677810669,0.0002899234532378614,6.427684783935547,0.0017435654299333692,0.008602230809628963,0.00022506351524498314,0.21373960375785828,0.27127766609191895,0.009492354467511177,0.5294390916824341,1.4718376398086548,2.0,0.4567166268825531,0.4367786645889282,0.5582066178321838,,
8,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,0.00010215817746939138,2.1310226917266846,-0.00010202967678196728,2.53971004486084,0.000982927973382175,0.1935783326625824,0.25758981704711914,0.011558787897229195,0.5164539217948914,1.5273592472076416,0.00015310525486711413,10.450958251953125,0.00045243685599416494,0.011393153108656406,0.0003404218587093055,0.25952982902526855,0.22049856185913086,0.010000122711062431,0.49747079610824585,1.5252717733383179,2.0,0.49630725383758545,0.4419479966163635,0.6456332802772522,,
8,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.0007009031251072884,1.2576539516448975,-0.00027415924705564976,5.664413928985596,0.0006766506121493876,0.1561955362558365,0.32616114616394043,0.018237609416246414,0.4829083979129791,1.4498826265335083,0.0005213821423240006,6.1349778175354,-0.0007932775188237429,0.006584444083273411,0.0003582999634090811,0.24646273255348206,0.2383842021226883,0.013114145025610924,0.49738648533821106,1.44074285030365,,,,,,
8,model.layers.12.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,7.62820418458432e-05,1.6838362216949463,-0.00017724244389683008,2.204819917678833,0.00030867999885231256,0.14709490537643433,0.2719775140285492,0.0021140044555068016,0.6521071195602417,1.5501304864883423,0.0001190804032376036,9.897819519042969,0.00014354978338815272,0.011312794871628284,0.00028972633299417794,0.24942255020141602,0.22137366235256195,0.008585963398218155,0.5036941766738892,1.5323055982589722,2.0,0.43280595541000366,0.46459126472473145,0.5992340445518494,,
8,model.layers.12.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.00027847508317790926,1.7830824851989746,0.0008444596314802766,2.6437265872955322,5.436498759081587e-05,0.1715291440486908,0.31537309288978577,0.01339744869619608,0.4942632019519806,1.4534629583358765,0.0004193078784737736,5.989006519317627,0.0006980361067689955,0.006544449832290411,9.269683505408466e-05,0.2326153963804245,0.2559875547885895,0.01639108546078205,0.5052362084388733,1.4084408283233643,,,,,,
8,model.layers.21.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,9.351031621918082e-05,2.635352373123169,-0.00034322089049965143,0.39885085821151733,0.0009068044601008296,0.18410803377628326,0.26258766651153564,0.008063829503953457,0.5413069725036621,1.5420233011245728,0.0001344898046227172,11.134880065917969,0.0009506610222160816,0.011003767140209675,0.0003954706189688295,0.2338317334651947,0.2363247126340866,0.010692045092582703,0.5003872513771057,1.5256456136703491,2.0,0.47361087799072266,0.44720005989074707,0.6060301065444946,,
8,model.layers.21.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.00035370970726944506,1.9328153133392334,2.237804619653616e-05,0.659299373626709,0.0001037419424392283,0.1554735153913498,0.3303051292896271,0.006688464432954788,0.4991667568683624,1.4713228940963745,0.00046357428072951734,5.242010593414307,0.0009261228842660785,0.00644947262480855,0.00019621438696049154,0.21756470203399658,0.26950305700302124,0.00967863667756319,0.5301344990730286,1.4640802145004272,,,,,,
