run,ckpt,matrix,m,n,disp_fro,w0_fro,rel_disp
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.linear_attn.in_proj_z.weight,2048,1024,0.004853209480643272,21.70543670654297,0.0002235941873116196
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.linear_attn.in_proj_b.weight,16,1024,0.0002780850336421281,2.023674726486206,0.0001374158751910586
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.linear_attn.in_proj_a.weight,16,1024,0.0001815520372474566,3.395397901535034,5.347003282454121e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.mlp.gate_proj.weight,3584,1024,0.017173858359456062,23.00975227355957,0.0007463730228504235
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.mlp.up_proj.weight,3584,1024,0.009226876311004162,15.771027565002441,0.0005850523228733406
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.12.mlp.down_proj.weight,1024,3584,0.009389963001012802,15.221353530883789,0.0006168940877669503
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.linear_attn.out_proj.weight,1024,2048,0.003247793298214674,16.764570236206055,0.00019372958879676437
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.linear_attn.in_proj_qkv.weight,6144,1024,0.009991948492825031,43.73291778564453,0.00022847660295158536
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.linear_attn.in_proj_z.weight,2048,1024,0.004685194231569767,20.939598083496094,0.00022374804964678304
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.linear_attn.in_proj_b.weight,16,1024,0.00025155601906590164,2.032787561416626,0.00012374929079681852
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.linear_attn.in_proj_a.weight,16,1024,0.00015878552221693099,2.881199359893799,5.511091125009268e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.mlp.gate_proj.weight,3584,1024,0.016641715541481972,23.8105525970459,0.0006989218529748301
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.mlp.up_proj.weight,3584,1024,0.008934946730732918,15.911117553710938,0.0005615536872612086
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.13.mlp.down_proj.weight,1024,3584,0.009127371944487095,15.3467378616333,0.0005947434579765279
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.linear_attn.out_proj.weight,1024,2048,0.003203683067113161,16.927993774414062,0.00018925355891584688
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.linear_attn.in_proj_qkv.weight,6144,1024,0.010177605785429478,44.112632751464844,0.00023071862073549692
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.linear_attn.in_proj_z.weight,2048,1024,0.00466946791857481,22.358572006225586,0.00020884463986674238
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.linear_attn.in_proj_b.weight,16,1024,0.000275217869784683,1.9978301525115967,0.00013775839224304903
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.linear_attn.in_proj_a.weight,16,1024,0.0001466885005356744,2.87286114692688,5.10600732278997e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.mlp.gate_proj.weight,3584,1024,0.016410619020462036,26.198944091796875,0.000626384749055606
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.mlp.up_proj.weight,3584,1024,0.008635631762444973,16.13216209411621,0.0005353052933676259
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.14.mlp.down_proj.weight,1024,3584,0.00890287570655346,15.142059326171875,0.0005879567312991258
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.self_attn.q_proj.weight,4096,1024,0.004760568030178547,32.12224197387695,0.0001482016116449787
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.self_attn.k_proj.weight,512,1024,0.001184179331175983,8.305766105651855,0.00014257316135716608
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.self_attn.v_proj.weight,512,1024,0.0018732340540736914,11.979118347167969,0.00015637495179405671
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.self_attn.o_proj.weight,1024,2048,0.002622986910864711,20.035621643066406,0.00013091617308377503
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.mlp.gate_proj.weight,3584,1024,0.016274504363536835,27.263813018798828,0.0005969269358000404
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.mlp.up_proj.weight,3584,1024,0.008568904362618923,17.13074493408203,0.0005002061729125907
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.15.mlp.down_proj.weight,1024,3584,0.008894681930541992,16.442813873291016,0.0005409464583790079
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.linear_attn.out_proj.weight,1024,2048,0.003144590649753809,16.044231414794922,0.0001959950943398932
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.linear_attn.in_proj_qkv.weight,6144,1024,0.01024703774601221,53.1949462890625,0.0001926317904398208
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.linear_attn.in_proj_z.weight,2048,1024,0.004541145171970129,22.97348976135254,0.00019766893141369977
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.linear_attn.in_proj_b.weight,16,1024,0.0002596084668766707,2.192178249359131,0.0001184248894689862
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.linear_attn.in_proj_a.weight,16,1024,0.0001551673049107194,3.236920118331909,4.793671120641747e-05
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.mlp.gate_proj.weight,3584,1024,0.016128158196806908,29.53081512451172,0.0005461467327876064
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.mlp.up_proj.weight,3584,1024,0.008460811339318752,17.0405330657959,0.0004965109545957494
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.16.mlp.down_proj.weight,1024,3584,0.008806247264146805,16.36994171142578,0.0005379522676003349
v4_rlvr_lrscale_a1_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_lrscale_a1_lr0.1_s0/ckpt_000300,model.layers.17.linear_attn.out_proj.weight,1024,2048,0.0031251285690814257,15.502323150634766,0.00020159098341034534
