run,ckpt,matrix,m,n,disp_fro,w0_fro,rel_disp
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.linear_attn.out_proj.weight,1024,2048,0.002416313625872135,17.915380477905273,0.00013487369854366937
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.004352802410721779,41.524749755859375,0.00010482429000327869
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.002404347062110901,25.05157470703125,9.597588535766059e-05
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.00024193328863475472,2.2407264709472656,0.00010797091558099797
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.00023356736346613616,4.82482385635376,4.8409510983194495e-05
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.mlp.gate_proj.weight,3584,1024,0.003213672200217843,23.213136672973633,0.00013844196264778928
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.mlp.up_proj.weight,3584,1024,0.003223709762096405,16.39203643798828,0.00019666316471976048
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.0.mlp.down_proj.weight,1024,3584,0.00319513026624918,16.277727127075195,0.0001962884769664575
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.002398332115262747,18.343368530273438,0.00013074654806747186
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.004225892946124077,41.7341194152832,0.00010125750837279049
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.002410236047580838,27.767534255981445,8.680050685673128e-05
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.00021412440401036292,2.381861448287964,8.989792591179954e-05
v4_rlvr_full_traj_lr0.1_s0,/scratch/rhong5/spectral_runs/v4_rlvr_full_traj_lr0.1_s0/ckpt_000050,model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.00022341364820022136,3.858166456222534,5.7906689805955626e-05
