run,ckpt,n_matrices,disp_fro_total,kl_base_to_ckpt
v3_rlvr_exact_iso_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s0/ckpt_000300,186,0.63834062969995,0.0014926626085844143
v3_rlvr_exact_iso_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s1/ckpt_000300,186,0.6399705728044189,0.0017587123633344716
v3_rlvr_exact_iso_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_exact_iso_lr0.1_s2/ckpt_000300,186,0.6424223422182256,0.0018751733042557718
v3_rlvr_frame_matched_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s0/ckpt_000300,186,0.09339592572508458,0.0020092778239720866
v3_rlvr_frame_matched_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s1/ckpt_000300,186,0.09320136047683798,0.0020448087720601063
v3_rlvr_frame_matched_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_frame_matched_lr0.1_s2/ckpt_000300,186,0.0887524318722233,0.001627117100101593
v3_rlvr_full_lr0.033_s0,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.033_s0/ckpt_000300,186,0.03819032080291198,0.0004486359968307847
v3_rlvr_full_lr0.033_s1,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.033_s1/ckpt_000300,186,0.0396477282350585,0.0004992407213794115
v3_rlvr_full_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s0/ckpt_000300,186,0.09558177652330127,0.001994611008745977
v3_rlvr_full_lr0.1_s1,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s1/ckpt_000300,186,0.09715292946750484,0.0025714532292667523
v3_rlvr_full_lr0.1_s2,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.1_s2/ckpt_000300,186,0.09437772574567073,0.0019485062315006867
v3_rlvr_full_lr0.33_s0,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.33_s0/ckpt_000300,186,0.26254455933474885,0.012138613320438538
v3_rlvr_full_lr0.33_s1,/scratch/rhong5/spectral_runs/v3_rlvr_full_lr0.33_s1/ckpt_000300,186,0.2620210656426634,0.009209713390425539
v3_rlvr_random_ext_lr0.1_s0,/scratch/rhong5/spectral_runs/v3_rlvr_random_ext_lr0.1_s0/ckpt_000300,186,0.13135699655383737,1.967166593503466e-05
