step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
4,model.layers.12.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.00028328938060440123,2.4570350646972656,0.0007354940171353519,2.663438320159912,4.0922266634879634e-05,0.16172760725021362,0.3282807767391205,0.010520562529563904,0.5128071904182434,1.4504362344741821,0.00048513029469177127,75.00122833251953,0.0016844943165779114,0.009018752723932266,9.942095493897796e-05,0.24056854844093323,0.2494005709886551,0.01003569457679987,0.5002123713493347,1.4439338445663452,,,,,,,,,,,,
4,model.layers.21.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,0.00010498007759451866,2.2896556854248047,-0.00015237467596307397,0.5147015452384949,0.0020736129954457283,0.19403262436389923,0.2293449193239212,0.010254430584609509,0.5209580659866333,1.542310357093811,0.00016237393720075488,64.04379272460938,0.001107511343434453,0.015095465816557407,7.769952935632318e-05,0.24095085263252258,0.2502785623073578,0.009788939729332924,0.5011687874794006,1.5263681411743164,4.0,0.2655256390571594,0.2653769254684448,0.8085148930549622,1.1877107681357302e-05,0.014425456523895264,0.07435667514801025,0.0008233436260185797,0.0626617893576622,0.06643371284008026,0.037695106118917465,0.12959419190883636
4,model.layers.21.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.0004388676316011697,1.749285101890564,0.0007609364110976458,1.1029106378555298,9.467286872677505e-05,0.12212599813938141,0.40099066495895386,0.0057166642509400845,0.591591477394104,1.4639911651611328,0.00048496684757992625,37.05964279174805,0.0018568038940429688,0.009402780793607235,8.821499795885757e-05,0.23960837721824646,0.2518247365951538,0.009589645080268383,0.5026863217353821,1.4569791555404663,,,,,,,,,,,,
8,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00011593385715968907,2.3401834964752197,-0.0010612853802740574,2.3625094890594482,0.000918824749533087,0.17494036257266998,0.26347097754478455,0.008231989108026028,0.5436099767684937,1.5335172414779663,0.00025174854090437293,87.96339416503906,0.001953952480107546,0.010782086290419102,9.861439320957288e-05,0.23927929997444153,0.25041818618774414,0.009930327534675598,0.5006158947944641,1.5166826248168945,4.0,0.2595486044883728,0.23884424567222595,0.839730441570282,0.00023198897542897612,0.3205196261405945,1.7705190181732178,0.0007237902346960033,0.061636991798877716,0.05080098658800125,0.044437095522880554,0.12842689454555511
8,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.001409728778526187,3.43864369392395,-4.891571734333411e-06,1.6256251335144043,0.0034255613572895527,0.15217292308807373,0.2601577341556549,0.02039298042654991,0.7065116763114929,1.30780827999115,0.001094843726605177,23.293935775756836,0.0077942670322954655,0.0038956699427217245,0.00011457504297140986,0.2406829446554184,0.24910707771778107,0.009969224222004414,0.4999760389328003,1.397518515586853,,,,,,,,,,,,
8,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008620510343462229,1.9837839603424072,-0.0015922614838927984,3.1976664066314697,0.00040782365249469876,0.13420048356056213,0.25764229893684387,0.0026880402583628893,0.7216578722000122,1.4775803089141846,0.0010745712788775563,41.044857025146484,0.0043490855023264885,0.004265123978257179,7.91993152233772e-05,0.23629218339920044,0.25367531180381775,0.0109239611774683,0.5019422769546509,1.380798101425171,,,,,,,,,,,,
8,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00024003861472010612,1.6437630653381348,-0.0004930931027047336,5.4762187004089355,2.785370270430576e-05,0.14681154489517212,0.36157330870628357,0.010218681767582893,0.5317996144294739,1.4300276041030884,0.0005180155858397484,45.725250244140625,0.003954938147217035,0.008234063163399696,7.066938269417733e-05,0.24062253534793854,0.2502425014972687,0.009611804038286209,0.49907201528549194,1.464393973350525,,,,,,,,,,,,
8,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00013768694770988077,2.8093326091766357,0.0003524136554915458,1.835457682609558,0.00030230352422222495,0.20990972220897675,0.25479793548583984,0.0039051310159265995,0.4714634418487549,1.5425952672958374,0.0002526324533391744,80.87090301513672,0.0009911996312439442,0.009698489680886269,8.47211413201876e-05,0.23990222811698914,0.25122153759002686,0.009769607335329056,0.49999991059303284,1.5155068635940552,4.0,0.21582859754562378,0.19243395328521729,0.8224989175796509,0.00012564322969410568,0.09728677570819855,1.4956607818603516,0.0012914728520858718,0.03163747489452362,0.015920192003250122,0.003418505424633622,0.06302475184202194
8,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0008026990108191967,3.6154844760894775,-4.7905427891237196e-06,1.5351046323776245,4.634458673535846e-05,0.2310163378715515,0.24819009006023407,0.0028908872045576572,0.5853155851364136,1.470009446144104,0.0010401260806247592,27.97450828552246,0.0030367805156856775,0.003547445172443986,8.011442696442828e-05,0.24201783537864685,0.2462717890739441,0.010442179627716541,0.49327313899993896,1.3918355703353882,,,,,,,,,,,,
8,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008026545983739197,1.6136713027954102,-0.0008135103853419423,1.4303158521652222,0.00022964102390687913,0.1674201786518097,0.2616122364997864,0.0044227223843336105,0.6710751056671143,1.4747035503387451,0.0009225034154951572,28.585920333862305,0.0036678826436400414,0.0035971724428236485,8.846203127177432e-05,0.23898427188396454,0.2522011995315552,0.009988782927393913,0.5035051703453064,1.3901299238204956,,,,,,,,,,,,
8,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0005476338556036353,1.4654773473739624,-0.0002379762299824506,2.900398015975952,1.731256998027675e-05,0.0662282407283783,0.5367253422737122,0.006572347600013018,0.6564732789993286,1.4508342742919922,0.0005461085238493979,34.75303649902344,0.0026109437458217144,0.007100361865013838,0.00010690344061003998,0.2383687049150467,0.25191542506217957,0.009673121385276318,0.5013728737831116,1.4621661901474,,,,,,,,,,,,
