matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.0.linear_attn.out_proj.weight,1024,2048,0.015028051152001958,0.014710806297146757,0.021110179333728163,0.913638715560024,0.909386055143031,0.004654641210542709
model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.015028051152001958,0.014936901313616536,0.006065313290691043,0.913638715560024,0.9143984545991686,-0.0008315530266018722
model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.015028051152001958,0.014971712225371074,0.0037489176780836075,0.913638715560024,0.9122422675862163,0.001528446583999754
model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.015028051152001958,0.015025141036797076,0.00019364554827816516,0.913638715560024,0.9138437588756636,-0.00022442494188079642
model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.015028051152001958,0.015028184801003163,-8.893302255508218e-06,0.913638715560024,0.9136270784442728,1.2737108829763422e-05
model.layers.0.mlp.gate_proj.weight,3584,1024,0.015028051152001958,0.015007089115384441,0.0013948606113657336,0.913638715560024,0.9126718771353904,0.0010582283874002174
model.layers.0.mlp.up_proj.weight,3584,1024,0.015028051152001958,0.014955214642771662,0.004846703574108768,0.913638715560024,0.9101107700375655,0.003861422969905548
model.layers.0.mlp.down_proj.weight,1024,3584,0.015028051152001958,0.014949199469542103,0.005246966600147007,0.913638715560024,0.9109350527991594,0.0029592252548178433
model.layers.1.linear_attn.out_proj.weight,1024,2048,0.015028051152001958,0.014887556432624736,0.009348831592079443,0.913638715560024,0.911760370569042,0.0020558946977532466
model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.015028051152001958,0.014991755211655284,0.0024152127231640286,0.913638715560024,0.9131770188798839,0.0005053383490399854
model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.015028051152001958,0.01501333505839716,0.0009792416498953793,0.913638715560024,0.9132250921206148,0.0004527210070729426
model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.015028051152001958,0.015027781212312807,1.796238823126295e-05,0.913638715560024,0.913659849011373,-2.313108123486174e-05
model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.015028051152001958,0.015027682992791332,2.4498133983086312e-05,0.913638715560024,0.9136403066640831,-1.741502447361043e-06
