matrix,m,n,kl_off_full,kl_off_without,share_off,kl_task_full,kl_task_without,share_task
model.layers.0.linear_attn.out_proj.weight,1024,2048,0.012137799094962308,0.012039495242597432,0.008098984963894829,1.1792032751879693,1.177286934686881,0.0016251146357973978
model.layers.0.linear_attn.in_proj_qkv.weight,6144,1024,0.012137799094962308,0.012103916052939478,0.0027915309651889153,1.1792032751879693,1.183270932173162,-0.0034494960035997835
model.layers.0.linear_attn.in_proj_z.weight,2048,1024,0.012137799094962308,0.012107579292489427,0.0024897266989222233,1.1792032751879693,1.1795484860701981,-0.0002927492566315859
model.layers.0.linear_attn.in_proj_b.weight,16,1024,0.012137799094962308,0.012136920217194038,7.240833048849371e-05,1.1792032751879693,1.1796514611825302,-0.00038007526267214153
model.layers.0.linear_attn.in_proj_a.weight,16,1024,0.012137799094962308,0.012138025264991179,-1.8633528788836173e-05,1.1792032751879693,1.1791692669939589,2.883997587699305e-05
model.layers.0.mlp.gate_proj.weight,3584,1024,0.012137799094962308,0.012130221152054794,0.0006243259464279172,1.1792032751879693,1.1791860692234988,1.4591177647238496e-05
model.layers.0.mlp.up_proj.weight,3584,1024,0.012137799094962308,0.012113195959817663,0.0020269848719819406,1.1792032751879693,1.179930706620139,-0.0006168838295108614
model.layers.0.mlp.down_proj.weight,1024,3584,0.012137799094962308,0.012108878234512956,0.002382710425760437,1.1792032751879693,1.180048338976931,-0.0007166396216351512
model.layers.1.linear_attn.out_proj.weight,1024,2048,0.012137799094962308,0.012090889632900878,0.003864742009191735,1.1792032751879693,1.1786208664021958,0.0004939002443669072
model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.012137799094962308,0.012121306225307889,0.0013588023269609506,1.1792032751879693,1.175260478441663,0.003343610749111825
model.layers.1.linear_attn.in_proj_z.weight,2048,1024,0.012137799094962308,0.012133002276977218,0.00039519668661192053,1.1792032751879693,1.179321597609657,-0.0001003409880020456
model.layers.1.linear_attn.in_proj_b.weight,16,1024,0.012137799094962308,0.01213818919276866,-3.213908908028529e-05,1.1792032751879693,1.1792654342212754,-5.2712738010551874e-05
model.layers.1.linear_attn.in_proj_a.weight,16,1024,0.012137799094962308,0.012137867130208582,-5.605237468619961e-06,1.1792032751879693,1.1790455639463007,0.00013374389724574165
model.layers.1.mlp.gate_proj.weight,3584,1024,0.012137799094962308,0.012122905101240684,0.0012270753210774643,1.1792032751879693,1.182671683042471,-0.002941314638011727
model.layers.1.mlp.up_proj.weight,3584,1024,0.012137799094962308,0.01206999642452264,0.005586076183103805,1.1792032751879693,1.1800222761122703,-0.0006945375250679842
model.layers.1.mlp.down_proj.weight,1024,3584,0.012137799094962308,0.01208058417271433,0.004713780628625153,1.1792032751879693,1.1788040492323075,0.00033855567064811076
model.layers.2.linear_attn.out_proj.weight,1024,2048,0.012137799094962308,0.012056823388434876,0.006671366521550093,1.1792032751879693,1.177186626086719,0.0017101793589648917
model.layers.2.linear_attn.in_proj_qkv.weight,6144,1024,0.012137799094962308,0.012114423707652986,0.0019258340928566264,1.1792032751879693,1.1780252112914202,0.0009990337724946619
model.layers.2.linear_attn.in_proj_z.weight,2048,1024,0.012137799094962308,0.012127336638086197,0.0008619731463880287,1.1792032751879693,1.1802874013125253,-0.0009193717040711924
model.layers.2.linear_attn.in_proj_b.weight,16,1024,0.012137799094962308,0.012138203991268519,-3.335829692363568e-05,1.1792032751879693,1.1791655226420996,3.2015299367027517e-05
model.layers.2.linear_attn.in_proj_a.weight,16,1024,0.012137799094962308,0.012137635896606776,1.3445465216199715e-05,1.1792032751879693,1.1792145940225063,-9.598713618830246e-06
model.layers.2.mlp.gate_proj.weight,3584,1024,0.012137799094962308,0.01212504275109979,0.0010509602080834846,1.1792032751879693,1.181561133234907,-0.001999534852514584
model.layers.2.mlp.up_proj.weight,3584,1024,0.012137799094962308,0.012074763345815885,0.005193342602991757,1.1792032751879693,1.1784345747836924,0.0006518811645552791
model.layers.2.mlp.down_proj.weight,1024,3584,0.012137799094962308,0.012068481062796364,0.005710922682409025,1.1792032751879693,1.178426635378411,0.0006586140200760537
model.layers.3.self_attn.q_proj.weight,4096,1024,0.012137799094962308,0.012124044046757786,0.0011332407215597362,1.1792032751879693,1.1815324565861556,-0.001975216188078388
model.layers.3.self_attn.k_proj.weight,512,1024,0.012137799094962308,0.012132839322376548,0.0004086220695330711,1.1792032751879693,1.1805269827746068,-0.0011225440214508442
model.layers.3.self_attn.v_proj.weight,512,1024,0.012137799094962308,0.012101303674822907,0.003006757638174151,1.1792032751879693,1.1784476319179606,0.0006408083202518178
model.layers.3.self_attn.o_proj.weight,1024,2048,0.012137799094962308,0.011969241038819805,0.01388703625951937,1.1792032751879693,1.174271016565719,0.004182704310640606
model.layers.3.mlp.gate_proj.weight,3584,1024,0.012137799094962308,0.012134376306159432,0.0002819941882459265,1.1792032751879693,1.1796646429003408,-0.00039125375758297665
model.layers.3.mlp.up_proj.weight,3584,1024,0.012137799094962308,0.01207016965144284,0.005571804491931176,1.1792032751879693,1.178622730206991,0.0004923196815966868
model.layers.3.mlp.down_proj.weight,1024,3584,0.012137799094962308,0.012088196929133566,0.004086586492383915,1.1792032751879693,1.1747382106108217,0.003786509646893421
model.layers.4.linear_attn.out_proj.weight,1024,2048,0.012137799094962308,0.0120644987913016,0.006039011116202309,1.1792032751879693,1.1765297761563747,0.002267207942725946
model.layers.4.linear_attn.in_proj_qkv.weight,6144,1024,0.012137799094962308,0.01211927756559211,0.001525938040767616,1.1792032751879693,1.1804420388688108,-0.0010505090232590941
model.layers.4.linear_attn.in_proj_z.weight,2048,1024,0.012137799094962308,0.01212621460681378,0.000954414227644973,1.1792032751879693,1.1792943076187874,-7.719825133922775e-05
model.layers.4.linear_attn.in_proj_b.weight,16,1024,0.012137799094962308,0.01213769530461561,8.551002194656654e-06,1.1792032751879693,1.179202468957129,6.837081080179885e-07
model.layers.4.linear_attn.in_proj_a.weight,16,1024,0.012137799094962308,0.012138093044110582,-2.421766466675912e-05,1.1792032751879693,1.1791952158454735,6.834565901780998e-06
model.layers.4.mlp.gate_proj.weight,3584,1024,0.012137799094962308,0.012128066056876018,0.0008018783314950317,1.1792032751879693,1.1806423073622163,-0.001220342755592796
model.layers.4.mlp.up_proj.weight,3584,1024,0.012137799094962308,0.012047027920016365,0.007478388317006868,1.1792032751879693,1.1759930582763283,0.002722360918756217
model.layers.4.mlp.down_proj.weight,1024,3584,0.012137799094962308,0.01207873989301989,0.0048657257778248475,1.1792032751879693,1.1705802985254907,0.007312544701933654
model.layers.5.linear_attn.out_proj.weight,1024,2048,0.012137799094962308,0.012049811313491064,0.007249072157386682,1.1792032751879693,1.1755768643023985,0.0030753059814837558
model.layers.5.linear_attn.in_proj_qkv.weight,6144,1024,0.012137799094962308,0.012086509157697644,0.004225637355124157,1.1792032751879693,1.1751989542748753,0.0033957851011359175
model.layers.5.linear_attn.in_proj_z.weight,2048,1024,0.012137799094962308,0.012119815005315915,0.0014816598549449722,1.1792032751879693,1.1786061879162728,0.0005063480438529666
model.layers.5.linear_attn.in_proj_b.weight,16,1024,0.012137799094962308,0.012137091379568461,5.830673158380151e-05,1.1792032751879693,1.1791507961673522,4.4503794826011855e-05
