step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,snr_diag_median,snr_offdiag_median,spearman_absC_snr,rho_sigma_absmed,rho_frame_absmed
25,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00011523388093337417,2.4274468421936035,0.00034237117506563663,0.33588334918022156,0.0008411393500864506,0.17154698073863983,0.2665848731994629,0.007895014248788357,0.5365339517593384,1.5338000059127808,0.0001637071545701474,62.87861633300781,1.3289996786625125e-05,7.170625030994415e-05,6.145196675788611e-05,0.18780483305454254,0.31091001629829407,0.006516074761748314,0.5339365005493164,1.5415674448013306,0.07799109816551208,0.07471343874931335,0.8129254579544067,0.33003029227256775,0.3296967148780823
25,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010460838675498962,3.062640905380249,-2.693400347197894e-06,0.23309116065502167,0.0017206877237185836,0.14369679987430573,0.25593870878219604,0.019572477787733078,0.7173588275909424,1.3219627141952515,0.0009221407235600054,41.73978042602539,2.7770211090683006e-05,3.727335933945142e-05,8.424112456850708e-05,0.19971585273742676,0.27568677067756653,0.008924715220928192,0.5969657897949219,1.4274482727050781,,,,,
25,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008123956504277885,1.7791566848754883,-0.0007180593675002456,0.47562649846076965,0.00013868398673366755,0.13013581931591034,0.25674107670783997,0.002181914635002613,0.7396774291992188,1.4624422788619995,0.0008444356499239802,24.60470199584961,1.5674602593662712e-07,3.826705869869329e-05,9.251003939425573e-05,0.22567737102508545,0.2632768750190735,0.006018475163727999,0.523550808429718,1.440165400505066,,,,,
25,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002904572756960988,2.119323492050171,-0.00022795735276304185,0.8118944764137268,2.8938244213350117e-05,0.1209077462553978,0.41357946395874023,0.012508372776210308,0.6036002039909363,1.429764747619629,0.0004213937500026077,50.65217971801758,1.0010206779043074e-06,3.3799409720813856e-05,2.6874564355239272e-05,0.12384013086557388,0.37369436025619507,0.0042108348570764065,0.7388466000556946,1.5299519300460815,,,,,
25,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00010045417729998007,2.2252094745635986,0.0002037843514699489,0.42409583926200867,0.00031665354617871344,0.19716639816761017,0.2525608539581299,0.0034686021972447634,0.48582619428634644,1.547177791595459,0.00015507037460338324,68.91580200195312,1.2530428648460656e-05,7.27097358321771e-05,2.148389285139274e-05,0.21411767601966858,0.26795896887779236,0.002390880137681961,0.45202338695526123,1.5526310205459595,0.07216842472553253,0.07877757400274277,0.8119350671768188,,
25,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009362465352751315,3.112278461456299,1.5604067584717995e-06,0.36033815145492554,5.5306161812040955e-05,0.23398900032043457,0.24497376382350922,0.003523490158841014,0.5650168657302856,1.4661918878555298,0.0008437447249889374,23.480243682861328,1.9606588466558605e-05,4.051549331052229e-05,6.24468520982191e-05,0.1919892579317093,0.3040636479854584,0.005822898354381323,0.5750677585601807,1.4614890813827515,,,,,
25,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0010353795951232314,1.8556679487228394,-9.285691703553312e-06,0.3725394010543823,6.591768760699779e-05,0.20863597095012665,0.24445122480392456,0.004293693695217371,0.6142755746841431,1.455038070678711,0.0009964692872017622,46.74982452392578,7.42712745704921e-06,3.051326348213479e-05,4.48933060397394e-05,0.22397495806217194,0.2710672616958618,0.008120443671941757,0.5279592871665955,1.4478167295455933,,,,0.3199252784252167,0.3412937521934509
25,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.000403713173000142,1.7949168682098389,-1.8807053265845752e-06,0.6430136561393738,2.2731461285729893e-05,0.07936248928308487,0.4798440635204315,0.010542916133999825,0.6239255666732788,1.445665717124939,0.00040767353493720293,25.314023971557617,-1.0020917216024827e-05,3.216521145077422e-05,4.6641471271868795e-05,0.13131502270698547,0.38622865080833435,0.005272748414427042,0.6949031352996826,1.5231279134750366,,,,,
25,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001714497193461284,2.2202823162078857,0.001589541439898312,0.26650965213775635,0.000744057644624263,0.21483922004699707,0.24056768417358398,0.008232931606471539,0.46993130445480347,1.5286681652069092,0.00015779324166942388,62.38454055786133,1.3509178643289488e-05,7.07671424606815e-05,2.7304169634589925e-05,0.1820458620786667,0.3138260245323181,0.0028835006523877382,0.5069475769996643,1.5493897199630737,0.08286865800619125,0.08548175543546677,0.78089839220047,,
25,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010174382477998734,2.8961148262023926,5.658222562487936e-06,0.25409406423568726,0.0004722125013358891,0.21210014820098877,0.2635616064071655,0.00916876271367073,0.6145567297935486,1.377650499343872,0.0010789039079099894,59.74254608154297,-3.61369748134166e-05,3.816741082118824e-05,9.045915066963062e-05,0.22792816162109375,0.2542441785335541,0.008364924229681492,0.5674600005149841,1.4148749113082886,,,,,
