step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,n_microbatch,snr_diag_median,snr_offdiag_median,spearman_absC_snr,rho_sigma_absmed,rho_frame_absmed,sig_energy_diag,sig_energy_total,noise_energy,R_sigma_cross,snr_cross_diag_median,snr_cross_offdiag_median,spearman_absC_snr_cross,spearman_absC_split
4,model.layers.1.mlp.up_proj.weight,3584,1024,0.00027901785714285713,0.0004070209397468716,2.5938851833343506,7.312253001146019e-05,1.326182246208191,9.07461071619764e-05,0.15990565717220306,0.3303227424621582,0.006581317167729139,0.5070981383323669,1.5109261274337769,1.0003080368041992,55.742027282714844,0.01749119535088539,0.010259413160383701,0.013217011466622353,0.5315025448799133,0.45528051257133484,0.013217011466622353,0.45528051257133484,1.4201451539993286,,,,,,,,,,,,,,
4,model.layers.1.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.0003531306574586779,4.043827533721924,7.478049519704655e-05,1.3031470775604248,0.0008284138166345656,0.18418912589550018,0.28089648485183716,0.013301346451044083,0.5475133657455444,1.4471603631973267,1.0002951622009277,59.077369689941406,0.007706660311669111,0.010242776945233345,0.03045717068016529,0.4564412832260132,0.5131014585494995,0.03045717068016529,0.5131015181541443,1.2534898519515991,2.0,0.3872049152851105,0.4359323978424072,0.6523841619491577,,,,,,,,,,
4,model.layers.12.mlp.gate_proj.weight,3584,1024,0.00027901785714285713,0.00021580835164058954,2.70491099357605,-0.00018544164777267724,0.9546564817428589,0.0006824949523434043,0.1777738332748413,0.2521992325782776,0.005728404503315687,0.5847867727279663,1.53192937374115,1.0003052949905396,60.55887222290039,-0.0710325837135315,0.00980247464030981,0.036538563668727875,0.5045298933982849,0.45893150568008423,0.036538563668727875,0.458931565284729,1.2368143796920776,,,,,,,,,,,,,,
4,model.layers.12.mlp.up_proj.weight,3584,1024,0.00027901785714285713,0.00027803494594991207,2.527534246444702,-2.6822619474842213e-05,1.5762708187103271,0.0004337691352702677,0.21744248270988464,0.2482301890850067,0.008952159434556961,0.5112104415893555,1.512170433998108,1.0003089904785156,32.747779846191406,-0.017041105777025223,0.00977508444339037,0.05951649323105812,0.5575202703475952,0.38296329975128174,0.05951650068163872,0.38296329975128174,1.118133544921875,,,,,,,,,,,,,,
4,model.layers.12.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.00026411013095639646,5.080049514770508,-2.8765047318302095e-05,1.4437098503112793,0.00012984059867449105,0.21790491044521332,0.26687708497047424,0.02240007370710373,0.4858381152153015,1.4012508392333984,1.0003198385238647,76.64107513427734,-0.012981749139726162,0.009860699065029621,0.013006712310016155,0.5317650437355042,0.4552282392978668,0.013006712310016155,0.45522820949554443,1.5646318197250366,2.0,0.6228790879249573,0.5187549591064453,0.6543964743614197,,,,,,,,,,
4,model.layers.22.mlp.gate_proj.weight,3584,1024,0.00027901785714285713,0.00023583324218634516,2.800107955932617,0.0007311856024898589,0.3825626075267792,0.0009427957702428102,0.16898036003112793,0.27340173721313477,0.008657599799335003,0.579271137714386,1.5243830680847168,1.00028657913208,20.629444122314453,-0.13887275755405426,0.009864430874586105,0.06955265253782272,0.5162333250045776,0.41421398520469666,0.06955265253782272,0.41421398520469666,1.1541264057159424,,,,,0.49428293108940125,0.48946690559387207,,,,,,,,
4,model.layers.22.mlp.up_proj.weight,3584,1024,0.00027901785714285713,0.00023066623543854803,2.563577175140381,0.00012761254038196057,0.8605874180793762,0.0008345317328348756,0.1758822351694107,0.2904650568962097,0.01280498132109642,0.5684847235679626,1.5041974782943726,1.000290870666504,8.407976150512695,0.010553356260061264,0.009798414073884487,0.15884000062942505,0.4320652484893799,0.4090947210788727,0.15884000062942505,0.4090947210788727,1.1948294639587402,,,,,,,,,,,,,,
4,model.layers.22.mlp.down_proj.weight,1024,3584,0.00027901785714285713,0.0003783332067541778,2.8456759452819824,0.00015517283463850617,0.7733588218688965,0.0001524601539131254,0.11038945615291595,0.4195333421230316,0.006476226728409529,0.588617742061615,1.480035662651062,1.0003020763397217,65.5089111328125,-0.011156925931572914,0.009920552372932434,0.016698895022273064,0.4178115129470825,0.565489649772644,0.016698893159627914,0.565489649772644,1.556175708770752,2.0,0.46251747012138367,0.48802289366722107,0.6022238731384277,,,,,,,,,,
4,model.layers.1.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,0.0001142009932664223,2.6196274757385254,-0.00023674596741329879,0.6504256129264832,0.0008898791274987161,0.18927405774593353,0.26835766434669495,0.00789476279169321,0.5153353810310364,1.538464903831482,1.0003021955490112,67.20657348632812,0.007773722521960735,0.013410983607172966,0.022877367213368416,0.5357534289360046,0.44136932492256165,0.022877367213368416,0.44136932492256165,1.4227221012115479,2.0,0.4644174873828888,0.43157851696014404,0.6332244277000427,,,,,,,,,,
4,model.layers.1.linear_attn.out_proj.weight,1024,2048,0.00048828125,0.0023453119210898876,1.3253659009933472,-0.0001041892683133483,1.611496925354004,0.0002209031517850235,0.1147729754447937,0.3846118450164795,0.009636112488806248,0.5359461903572083,1.4344892501831055,1.0003019571304321,30.610984802246094,0.03304038569331169,0.007683612871915102,0.05181572213768959,0.4875575602054596,0.4606267213821411,0.05181572213768959,0.4606267213821411,1.2487777471542358,,,,,,,,,,,,,,
4,model.layers.12.linear_attn.in_proj_qkv.weight,6144,1024,0.00016276041666666666,6.369900074787438e-05,2.3389735221862793,-0.0004233238287270069,0.9252495765686035,0.001123277354054153,0.16436918079853058,0.24611561000347137,0.005398508161306381,0.5840091705322266,1.5514702796936035,1.0003050565719604,21.123111724853516,0.05764415115118027,0.012900506146252155,0.0766756534576416,0.4928949177265167,0.43042951822280884,0.0766756609082222,0.43042951822280884,1.2223612070083618,2.0,0.43190300464630127,0.5040715336799622,0.6388868689537048,,,,,,,,,,
