cfg,n_seeds,gsm8k,mmlu,gsm8k_spread,reward_peak,reward_last100,decline,trunc_frac_last,groups_kept_last,verdict
v3_rlvr_full_lr0.033,2,0.562,0.479,0.0,0.41984375,0.3903125,0.02953125000000001,0.32625000000000004,5.46,HEALTHY
v3_rlvr_full_lr0.1,3,0.64,0.4696666666666667,0.028000000000000025,0.5855208333333333,0.5598958333333334,0.025625000000000047,0.13916666666666666,4.82,HEALTHY
v3_rlvr_full_lr0.33,2,0.696,0.452,0.07199999999999995,0.6738743622448979,0.6574621212121212,0.01641224103277672,0.5748405612244898,3.596326530612245,FAIL: mmlu 0.452; spread 0.072
